id,country_id:id,state_id:id,name
pa_city_pa_1_1,base.pa,l10n_pa_provinces.pa_state_1,Bocas del Toro
pa_city_pa_1_2,base.pa,l10n_pa_provinces.pa_state_1,Changuinola
pa_city_pa_1_3,base.pa,l10n_pa_provinces.pa_state_1,Chiriquí Grande
pa_city_pa_1_4,base.pa,l10n_pa_provinces.pa_state_1,Almirante
pa_city_pa_2_1,base.pa,l10n_pa_provinces.pa_state_2,Penonomé
pa_city_pa_2_2,base.pa,l10n_pa_provinces.pa_state_2,Aguadulce
pa_city_pa_2_3,base.pa,l10n_pa_provinces.pa_state_2,Antón
pa_city_pa_2_4,base.pa,l10n_pa_provinces.pa_state_2,La Pintada
pa_city_pa_2_5,base.pa,l10n_pa_provinces.pa_state_2,Natá
pa_city_pa_2_6,base.pa,l10n_pa_provinces.pa_state_2,Olá
pa_city_pa_3_1,base.pa,l10n_pa_provinces.pa_state_3,Colón
pa_city_pa_3_2,base.pa,l10n_pa_provinces.pa_state_3,Portobelo
pa_city_pa_3_3,base.pa,l10n_pa_provinces.pa_state_3,Donoso
pa_city_pa_3_4,base.pa,l10n_pa_provinces.pa_state_3,Santa Isabel
pa_city_pa_3_5,base.pa,l10n_pa_provinces.pa_state_3,Chagres
pa_city_pa_4_1,base.pa,l10n_pa_provinces.pa_state_4,David
pa_city_pa_4_2,base.pa,l10n_pa_provinces.pa_state_4,Alanje
pa_city_pa_4_3,base.pa,l10n_pa_provinces.pa_state_4,Barú
pa_city_pa_4_4,base.pa,l10n_pa_provinces.pa_state_4,Boquerón
pa_city_pa_4_5,base.pa,l10n_pa_provinces.pa_state_4,Boquete
pa_city_pa_4_6,base.pa,l10n_pa_provinces.pa_state_4,Bugaba
pa_city_pa_4_7,base.pa,l10n_pa_provinces.pa_state_4,David
pa_city_pa_4_8,base.pa,l10n_pa_provinces.pa_state_4,Dolega
pa_city_pa_4_9,base.pa,l10n_pa_provinces.pa_state_4,Gualaca
pa_city_pa_4_10,base.pa,l10n_pa_provinces.pa_state_4,Remedios
pa_city_pa_4_11,base.pa,l10n_pa_provinces.pa_state_4,Renacimiento
pa_city_pa_4_12,base.pa,l10n_pa_provinces.pa_state_4,San Félix
pa_city_pa_4_13,base.pa,l10n_pa_provinces.pa_state_4,San Lorenzo
pa_city_pa_4_14,base.pa,l10n_pa_provinces.pa_state_4,Tolé
pa_city_pa_5_1,base.pa,l10n_pa_provinces.pa_state_5,La Palma
pa_city_pa_5_2,base.pa,l10n_pa_provinces.pa_state_5,Chepigana
pa_city_pa_5_3,base.pa,l10n_pa_provinces.pa_state_5,Pinogana
pa_city_pa_5_4,base.pa,l10n_pa_provinces.pa_state_5,Sambú
